nama_makanan,gambar,kalori,karbohidrat,protein,harga,level_harga,tipe_diet,cluster
Telur Rebus,https://images.eatthismuch.com/med/36640_elm333_3445f15a-841d-4f23-9353-e269b504d115.jpg,72.0,0.4,6.3,10000.0,Normal,Keto,0
Salad Ayam Caesar,https://images.eatthismuch.com/med/33488_ldementhon_023ee1ed-1b44-4452-9ae9-f29a0cfbc54c.png,358.0,3.9,31.8,40000.0,Premium,Keto,1
Orak-arik Bayam,https://images.eatthismuch.com/med/56823_elm333_99e159c8-7230-4ef8-b270-05bd0bf2f549.jpg,252.0,6.8,14.1,14000.0,Normal,Vegetarian,2
Telur orak-arik,https://images.eatthismuch.com/med/34096_erin_m_f434d8cd-93af-4dde-86b5-11fa49b476b0.png,273.0,2.4,19.5,10000.0,Normal,Keto,2
Ayam Panggang Teriyaki,https://images.eatthismuch.com/med/36663_jessejsherrill_5e9504b0-f3ad-4740-99c2-53773915faa6.jpg,373.0,12.7,57.6,24000.0,Mahal,Normal,1
Ubi Jalar,https://images.eatthismuch.com/med/42621_elm333_b5bc89d3-32a1-4505-a38b-926d3a09777c.jpg,112.0,26.2,2.0,10000.0,Normal,Normal,2
Tuna,https://images.eatthismuch.com/med/34567_PBnJammie_fc009fb5-c25d-42e7-9816-c280fbb5c217.jpeg,317.0,14.1,36.2,33000.0,Premium,Normal,1
Ayam Panggang,https://images.eatthismuch.com/med/36662_tabitharwheeler_83d52001-a710-4e61-ad20-fb545347e831.jpg,316.0,14.6,27.5,38000.0,Premium,Normal,1
Salad Tuna,https://images.eatthismuch.com/med/56852_tabitharwheeler_4efc3d4b-3a45-4fdb-a30d-56fb3ef8b57e.jpg,237.0,10.0,18.3,15000.0,Normal,Vegetarian,2
Ayam Bawang Putih,https://images.eatthismuch.com/med/33501_elm333_4bb41603-56fd-43db-8de6-af0ee43b8c16.jpg,225.0,1.6,27.0,19000.0,Normal,Keto,2
Coconut Milk Protein Shake,https://images.eatthismuch.com/med/34529_erin_m_d332ffda-cbd3-41c4-8efe-ba54be439ac2.png,360.0,19.0,51.0,21000.0,Mahal,Normal,1
Telur Rebus Kupas,https://images.eatthismuch.com/med/39296_ldementhon_81a2d45f-cc37-4e12-bb3c-ab12c90c29ce.jpg,144.0,0.7,12.6,19000.0,Normal,Keto,2
Oatmeal banana protein shake,https://images.eatthismuch.com/med/33544_erin_m_8323de29-d07e-467a-a15f-53e752405fe9.png,546.0,48.5,53.7,31000.0,Premium,Normal,1
Salad Ayam Kari,https://images.eatthismuch.com/med/36624_elm333_0c86da09-fb11-4a97-a729-d11f7d9f40a2.jpg,275.0,1.4,26.0,16000.0,Normal,Keto,2
Salad Ayam dan Alpukat,https://images.eatthismuch.com/med/33519_elm333_04a59a70-44d7-4010-9cf2-30410e4a9435.jpg,404.0,12.0,34.6,27000.0,Mahal,Vegetarian,1
Chicken wrap,https://images.eatthismuch.com/med/34202_erin_m_603eda78-c76e-4fcc-9ef8-5254b79227f5.png,253.0,24.7,24.0,16000.0,Normal,Normal,2
Chicken Kabobs,https://images.eatthismuch.com/med/33494_elm333_65fda051-e649-4b62-92e7-9ccd8076eaf3.jpg,285.0,33.3,28.3,19000.0,Normal,Normal,1
Classic Omelet,https://images.eatthismuch.com/med/34828_tabitharwheeler_375317ba-efcc-490f-a328-30caf79492a1.jpg,298.0,1.1,19.4,11000.0,Normal,Keto,2
